title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T3 Bab 3,radio,F3 Bab 3,A,B,C,D,A,Galus/Picture1.png
,radio,F3 Bab 3,A,B,C,D,B,Galus/Picture2.png
,radio,F3 Bab 3,A,B,C,D,C,Galus/Picture3.png
,radio,F3 Bab 3,A,B,C,D,D,Galus/Picture4.png
,radio,F3 Bab 3,A,B,C,D,B,Galus/Picture5.png
,radio,F3 Bab 3,A,B,C,D,B,Galus/Picture6.png
,radio,F3 Bab 3,A,B,C,D,C,Galus/Picture7.png
,radio,F3 Bab 3,A,B,C,D,B,Galus/Picture8.png
,radio,F3 Bab 3,A,B,C,D,B,Galus/Picture9.png
,radio,F3 Bab 3,A,B,C,D,A,Galus/Picture10.png
