title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T3 Bab 5,radio,F3 Bab 5,A,B,C,D,B,Galus/Picture21.png
,radio,F3 Bab 5,A,B,C,D,C,Galus/Picture22.png
,radio,F3 Bab 5,A,B,C,D,C,Galus/Picture23.png
,radio,F3 Bab 5,A,B,C,D,C,Galus/Picture24.png
,radio,F3 Bab 5,A,B,C,D,D,Galus/Picture25.png
,radio,F3 Bab 5,A,B,C,D,A,Galus/Picture26.png
,radio,F3 Bab 5,A,B,C,D,B,Galus/Picture27.png
,radio,F3 Bab 5,A,B,C,D,A,Galus/Picture28.png
,radio,F3 Bab 5,A,B,C,D,D,Galus/Picture29.png
,radio,F3 Bab 5,A,B,C,D,C,Galus/Picture30.png
