title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T3 Bab 11,radio,F3 Bab 11,A,B,C,D,D,Galus/Picture81.png
,radio,F3 Bab 11,A,B,C,D,B,Galus/Picture82.png
,radio,F3 Bab 11,A,B,C,D,C,Galus/Picture83.png
,radio,F3 Bab 11,A,B,C,D,B,Galus/Picture84.png
,radio,F3 Bab 11,A,B,C,D,B,Galus/Picture85.png
,radio,F3 Bab 11,A,B,C,D,C,Galus/Picture86.png
,radio,F3 Bab 11,A,B,C,D,D,Galus/Picture87.png
,radio,F3 Bab 11,A,B,C,D,A,Galus/Picture88.png
,radio,F3 Bab 11,A,B,C,D,C,Galus/Picture89.png
,radio,F3 Bab 11,A,B,C,D,A,Galus/Picture90.png
